trade_date,open,high,low,close,adj_close,vol
2006/4/24,16917.60938,16930.00977,16678.31055,16705.66992,16705.66992,479641800
2006/4/25,16734.83008,16746.31055,16547.30078,16577.76953,16577.76953,495561400
2006/4/26,16628.59961,16739.26953,16539.07031,16672.66016,16672.66016,397465000
2006/4/27,16749.48047,16856.9707,16728.84961,16742.84961,16742.84961,293001200
2006/4/28,16461.59961,16672.41016,16429.5,16661.30078,16661.30078,362459600
2006/5/2,16764.58984,16896.85938,16744.16016,16868.03906,16868.03906,594247400
2006/5/3,17066.98047,17099.48047,16970.40039,17026.98047,17026.98047,530625800
2006/5/4,16966.24023,17076.91992,16966.24023,17013.92969,17013.92969,357919200
2006/5/8,17204.25,17328.42969,17204.25,17301.78906,17301.78906,552253400
2006/5/9,17278.86914,17278.86914,17118.2207,17133.99023,17133.99023,470048000
2006/5/10,17205.34961,17239.21094,17018.16992,17080.58984,17080.58984,388062000
2006/5/11,17065.96094,17185.78906,17010.40039,17140.7793,17140.7793,513897600
2006/5/12,16868.85938,16967.03906,16845.84961,16901.84961,16901.84961,405818200
2006/5/15,16623.34961,16673.5293,16455.46094,16494.83984,16494.83984,469529000
2006/5/16,16400.66016,16435.55078,16247.58008,16393.10938,16393.10938,582736400
2006/5/17,16497.91016,16626.71094,16421.08984,16615.55078,16615.55078,482784400
2006/5/18,16232.16016,16363.33984,16177.17969,16266.51953,16266.51953,503735800
2006/5/19,16169.78027,16361.94043,16155.76953,16313.36035,16313.36035,360012400
2006/5/22,16295.37012,16304.9502,15790.44043,15805.51953,15805.51953,472615200
2006/5/23,15747.40039,15888.48047,15691.12988,15864.55957,15864.55957,561383400
2006/5/24,15857.20996,15930.16992,15673.75,15822.63965,15822.63965,468294200
2006/5/25,15741.80957,15764.71973,15626.9502,15696.88965,15696.88965,426455600
2006/5/26,15897.28027,15932.25977,15814.92969,15895.09961,15895.09961,438535400
2006/5/29,15976.26953,16006.07031,15919.12988,15963.76953,15963.76953,307278200
2006/5/30,15976.37012,15976.37012,15840.33984,15857.88965,15857.88965,393298000
2006/6/1,15817.82031,15923.73047,15605.95996,15645.26953,15645.26953,488738600
2006/6/2,15731.82031,15920.05957,15677.04004,15912.70996,15912.70996,473210800
2006/6/5,15964.30957,16062.26953,15943.41992,16016.23047,16016.23047,307784200
2006/6/6,15844.91992,15985.99023,15824.19043,15973.11035,15973.11035,318078400
2006/6/7,15916.76953,15944.48047,15776.37012,15816.54981,15816.54981,320045000
2006/6/8,15603.11035,15611.51953,15419.41992,15450.11035,15450.11035,560586400
2006/6/9,15468.83008,15640.30957,15405.79004,15628.69043,15628.69043,441323800
2006/6/12,15560.70996,15680.32031,15498.26953,15621.44043,15621.44043,282433200
2006/6/13,15417.24023,15437.25977,15204.86035,15234.41992,15234.41992,487668800
2006/6/14,15238.58008,15396.5,15214.69043,15247.91992,15247.91992,410959200
2006/6/15,15419.67969,15455.57031,15355.42969,15435.08008,15435.08008,461480000
2006/6/16,15807.37012,15851.50977,15749.45996,15842.65039,15842.65039,562540800
2006/6/19,15759.95996,15781.55957,15723.36035,15768.86035,15768.86035,192452000
2006/6/20,15709,15709,15555.24023,15608.96973,15608.96973,449964000
2006/6/21,15599.86035,15667.7002,15520.41992,15659.36035,15659.36035,251937000
2006/6/22,15859.84961,15885.70996,15798.59961,15826.7002,15826.7002,330942400
2006/6/23,15729.54981,15828.49023,15682.80957,15808.80957,15808.80957,339210000
2006/6/26,15756.67969,15841.13965,15726.80957,15804.80957,15804.80957,306761400
2006/6/27,15827.84961,15892.91992,15770.91992,15774.7002,15774.7002,294448900
2006/6/28,15632.44043,15742.66016,15613.2002,15742.66016,15742.66016,303054000
2006/6/29,15890.2002,15916,15844.11035,15865.21973,15865.21973,364663200
2006/6/30,16170.79004,16273.74023,16125.25977,16267.62012,16267.62012,555019000
2006/7/3,16288.58984,16364.23047,16234.87988,16326.66016,16326.66016,295984400
2006/7/4,16363.15039,16379.03027,16312.16992,16368.98047,16368.98047,271767300
2006/7/5,16364,16377.66016,16254.69043,16267.17969,16267.17969,226094300
2006/7/6,16141.66992,16445.17969,16129.65039,16440.99023,16440.99023,256690800
2006/7/7,16497.90039,16497.90039,16399.48047,16459.7793,16459.7793,216761800
2006/7/10,16376.82031,16606.61914,16338.90039,16603.81055,16603.81055,223312300
2006/7/11,16512.24023,16568.61914,16477.46094,16490.13086,16490.13086,343592700
2006/7/12,16507.7207,16552.64063,16435.60938,16522.21094,16522.21094,197578800
2006/7/13,16490.48047,16557.9707,16288.42969,16305.48047,16305.48047,324527800
2006/7/14,16123.95996,16159.08984,16062.59961,16135.70996,16135.70996,296680300
2006/7/17,15980.5,16104.15039,15948.75977,16064.82031,16064.82031,231710500
2006/7/18,16035,16109.7002,15966.44043,16043.94043,16043.94043,240536700
2006/7/19,16069.79981,16171.12012,16062.58008,16097.54004,16097.54004,169546200
2006/7/20,16418.14063,16481.16992,16390.2793,16472.61914,16472.61914,316291000
2006/7/21,16406.7793,16483.23047,16376.03027,16464.17969,16464.17969,375659400
2006/7/24,16376.37988,16484.9707,16354.44043,16480.58984,16480.58984,251868300
2006/7/25,16668.63086,16671.39063,16580.64063,16583.85938,16583.85938,318878400
2006/7/26,16584.49023,16623.46094,16566.39063,16617.24023,16617.24023,235033400
2006/7/27,16713.03906,16924.2207,16713.03906,16916.76953,16916.76953,426090700
2006/7/28,16935,17034.55078,16918.78906,16955.03906,16955.03906,325931200
2006/7/31,17103.43945,17114.19922,16965.19922,16971.33984,16971.33984,263546300
2006/8/1,16990.2207,16990.2207,16907.38086,16911.36914,16911.36914,211895000
2006/8/2,16887.67969,17085.65039,16872.71094,17032.75,17032.75,335435400
2006/8/3,17073.43945,17097.83984,17011.60938,17048.41992,17048.41992,314784500
2006/8/4,17049.96094,17096.41016,16867.94922,16887.80078,16887.80078,290811800
2006/8/7,16927.74023,16961.25977,16811.41992,16953.55078,16953.55078,216714100
2006/8/8,17056.57031,17066.44922,16994.56055,17048.19922,17048.19922,265395900
2006/8/9,16996,17349.99023,16959.00977,17346.58008,17346.58008,353961200
2006/8/10,17322.51953,17349.80078,17211.96094,17222.14063,17222.14063,291538300
2006/8/11,17255.23047,17323.49023,17211.4707,17249.94922,17249.94922,240485900
2006/8/14,17280.07031,17303.16992,17215.00977,17290.00977,17290.00977,205380100
2006/8/15,17274.50977,17295.30078,17242.83984,17274.07031,17274.07031,189984200
2006/8/16,17406.61914,17473.73047,17349.88086,17451.0293,17451.0293,319270700
2006/8/17,17501.94922,17506.21094,17329.05078,17373.05078,17373.05078,358907400
2006/8/18,17381.41992,17413.96094,17316.13086,17330.69922,17330.69922,260812800
2006/8/21,17326.38086,17329.67969,16996.75977,17007.88086,17007.88086,317411200
2006/8/22,17096.50977,17155.59961,17037.23047,17149.75,17149.75,244744100
2006/8/23,17101.11914,17111.75,17010.31055,17088.39063,17088.39063,194206800
2006/8/24,16970.98047,17040.2207,16870.69922,16883.03906,16883.03906,322874300
2006/8/25,16958.2793,17005.43945,16894.11914,16955.44922,16955.44922,261221000
2006/8/28,16955.88086,16998.71094,16911.51953,16922.28906,16922.28906,203537200
2006/8/29,17003.56055,17102.44922,16998.99023,17083.2793,17083.2793,250214600
2006/8/30,17147.75977,17289.25977,17134.91992,17284.71094,17284.71094,430751800
2006/8/31,17395.53906,17422.83008,17356.83008,17392.26953,17392.26953,487228900
2006/9/1,17373.16992,17514.31055,17311.41016,17423.7207,17423.7207,389951500
2006/9/4,17504.33008,17538.58984,17476.59961,17513.88086,17513.88086,307024000
2006/9/5,17523.81055,17523.81055,17404.66992,17438.80078,17438.80078,228720800
2006/9/6,17445.98047,17445.98047,17208.92969,17258.50977,17258.50977,318450700
2006/9/7,17099.91016,17133.51953,17044.92969,17096.43945,17096.43945,399343200
2006/9/8,17071.17969,17171.53906,17070.91016,17145.75977,17145.75977,396274600
2006/9/11,17141.60938,17158.2207,16929.71094,16948.58984,16948.58984,822556800
2006/9/12,16932.28906,17128.86914,16921.5293,17075.40039,17075.40039,428789000
2006/9/13,17221,17235.41016,17173.82031,17210.03906,17210.03906,538815900
2006/9/14,17274.66992,17304.74023,17142.71094,17183.44922,17183.44922,747969600
2006/9/15,17179.08984,17246.89063,17143.24023,17237.65039,17237.65039,497798400
2006/9/18,17253.69922,17423.90039,17253.01953,17387.21094,17387.21094,527369400
2006/9/19,17411.92969,17426.4707,17314.63086,17346.69922,17346.69922,604377700
2006/9/20,17232.19922,17523.48047,17220.7793,17512.96094,17512.96094,921311200
2006/9/21,17546.56055,17663.43945,17539.56055,17619.9707,17619.9707,1161323100
2006/9/22,17526.33984,17639.13086,17511.96094,17600.65039,17600.65039,816864700
2006/9/25,17546.03906,17683.44922,17539.81055,17546.03906,17546.03906,554085100
2006/9/26,17614.28906,17614.28906,17277.75,17308.08008,17308.08008,553720400
2006/9/27,17478.25,17540.66992,17402.13086,17521.50977,17521.50977,563790300
2006/9/28,17565.92969,17604.91016,17506.24023,17530.57031,17530.57031,815714300
2006/9/29,17559.66992,17589.57031,17350.78906,17543.05078,17543.05078,585264500
2006/10/3,17490.50977,17648.71094,17428.09961,17606.5293,17606.5293,1356757200
2006/10/4,17637.19922,17687.19922,17535.83008,17629.21094,17629.21094,1023470000
2006/10/5,17897.92969,17940.49023,17810.07031,17907.66992,17907.66992,803488300
2006/10/6,17901.06055,17931.73047,17848.7207,17903.39063,17903.39063,578815400
2006/10/9,17876.03906,17876.03906,17589.11914,17675.24023,17675.24023,561382500
2006/10/10,17780.30078,17852.35938,17751.94922,17823.69922,17823.69922,503691300
