trade_date,open,high,low,close,amt_change,pct_change
2015-01-23,1.5005,1.5035,1.4948,1.4987,-0.0016,-0.11
2015-01-26,1.4993,1.5101,1.4973,1.5084,0.0097,0.65
2015-01-27,1.5084,1.5222,1.5058,1.5187,0.0103,0.68
2015-01-28,1.5194,1.5218,1.5126,1.5135,-0.0052,-0.34
2015-01-29,1.5137,1.5162,1.5015,1.5076,-0.0059,-0.39
2015-01-30,1.5075,1.5095,1.4988,1.5065,-0.0011,-0.07
2015-02-02,1.5083,1.5099,1.5003,1.5024,-0.0041,-0.27
2015-02-03,1.5024,1.5196,1.4986,1.5139,0.0115,0.77
2015-02-04,1.5138,1.525,1.5135,1.5175,0.0036,0.24
2015-02-05,1.5176,1.5343,1.5161,1.5317,0.0142,0.94
2015-02-06,1.5318,1.5352,1.5207,1.5246,-0.0071,-0.46
2015-02-09,1.5237,1.5267,1.5198,1.5212,-0.0034,-0.22
2015-02-10,1.5211,1.5275,1.5195,1.5257,0.0045,0.3
2015-02-11,1.5257,1.5299,1.5216,1.524,-0.0017,-0.11
2015-02-12,1.5236,1.5414,1.5207,1.5384,0.0144,0.94
2015-02-13,1.5388,1.5422,1.5369,1.5402,0.0018,0.12
2015-02-16,1.54,1.544,1.5335,1.5352,-0.005,-0.32
2015-02-20,1.5385,1.5406,1.5381,1.5381,0.0029,0.19
2015-02-23,1.5385,1.5473,1.5329,1.5449,0.0068,0.44
2015-02-24,1.5449,1.5473,1.54,1.5454,0.0005,0.03
2015-02-25,1.5452,1.5538,1.5442,1.5524,0.007,0.45
2015-02-26,1.5524,1.5552,1.539,1.5411,-0.0113,-0.73
2015-02-27,1.5411,1.5458,1.5381,1.5432,0.0021,0.14
2015-03-02,1.5409,1.5443,1.5347,1.5355,-0.0077,-0.5
2015-03-03,1.5355,1.5397,1.5342,1.5365,0.001,0.07
2015-03-04,1.5365,1.5372,1.5248,1.5259,-0.0106,-0.69
2015-03-05,1.5261,1.5269,1.5213,1.5228,-0.0031,-0.2
2015-03-06,1.5057,1.5064,1.5023,1.5056,-0.0172,-1.13
2015-03-09,1.5057,1.5136,1.5023,1.5102,0.0046,0.31
2015-03-10,1.5106,1.5129,1.5027,1.5072,-0.003,-0.2
2015-03-11,1.5073,1.5096,1.4892,1.4931,-0.0141,-0.94
2015-03-12,1.4931,1.5025,1.4847,1.4889,-0.0042,-0.28
2015-03-13,1.4889,1.4896,1.4697,1.4743,-0.0146,-0.98
2015-03-16,1.4752,1.4852,1.4728,1.4821,0.0078,0.53
2015-03-17,1.4822,1.4844,1.4721,1.4747,-0.0074,-0.5
2015-03-18,1.4749,1.5147,1.4632,1.4956,0.0209,1.42
2015-03-19,1.4955,1.5008,1.4685,1.4754,-0.0202,-1.35
2015-03-20,1.4757,1.4988,1.472,1.4949,0.0195,1.32
2015-03-23,1.494,1.4988,1.4837,1.4948,-0.0001,-0.01
2015-03-24,1.4949,1.4983,1.4826,1.483,-0.0118,-0.79
2015-03-25,1.4831,1.4953,1.4826,1.4874,0.0044,0.3
2015-03-26,1.4877,1.4993,1.4805,1.4853,-0.0021,-0.14
2015-03-27,1.4853,1.4921,1.4794,1.4875,0.0022,0.15
2015-03-30,1.4883,1.49,1.4751,1.4804,-0.0071,-0.48
2015-03-31,1.4804,1.4871,1.4752,1.4827,0.0023,0.16
2015-04-01,1.4828,1.4871,1.4737,1.4832,0.0005,0.03
2015-04-02,1.4826,1.4839,1.4818,1.482,-0.0012,-0.08
2015-04-06,1.492,1.498,1.4867,1.4886,0.0066,0.45
2015-04-07,1.4887,1.4919,1.4798,1.4819,-0.0067,-0.45
2015-04-08,1.482,1.4972,1.4801,1.4874,0.0055,0.37
2015-04-09,1.4874,1.4885,1.468,1.4714,-0.016,-1.08
2015-04-10,1.4713,1.4724,1.4585,1.4629,-0.0085,-0.58
2015-04-13,1.4635,1.4681,1.4563,1.4666,0.0037,0.25
2015-04-14,1.4666,1.4801,1.4601,1.477,0.0104,0.71
2015-04-15,1.4769,1.4852,1.4699,1.4826,0.0056,0.38
2015-04-16,1.4826,1.4969,1.481,1.4923,0.0097,0.65
2015-04-17,1.4926,1.5053,1.4914,1.4959,0.0036,0.24
2015-04-20,1.4963,1.4983,1.4886,1.4908,-0.0051,-0.34
2015-04-21,1.4906,1.4973,1.4853,1.4926,0.0018,0.12
2015-04-22,1.4926,1.5079,1.491,1.5033,0.0107,0.72
2015-04-23,1.5032,1.5069,1.4957,1.5051,0.0018,0.12
2015-04-24,1.5047,1.5188,1.5025,1.5186,0.0135,0.9
2015-04-27,1.5172,1.5261,1.5105,1.5219,0.0033,0.22
2015-04-28,1.5219,1.5341,1.5174,1.5327,0.0108,0.71
2015-04-29,1.533,1.5496,1.5325,1.5423,0.0096,0.63
2015-04-30,1.5422,1.549,1.5301,1.5351,-0.0072,-0.47
2015-05-01,1.5351,1.5396,1.5112,1.5139,-0.0212,-1.38
2015-05-04,1.5152,1.5174,1.5088,1.5118,-0.0021,-0.14
2015-05-05,1.512,1.5217,1.5087,1.5165,0.0047,0.31
2015-05-06,1.5168,1.529,1.5148,1.5236,0.0071,0.47
2015-05-07,1.5393,1.5446,1.5242,1.5393,0.0157,1.03
2015-05-08,1.5394,1.5522,1.5242,1.5458,0.0065,0.42
2015-05-11,1.5436,1.5611,1.5391,1.5575,0.0117,0.76
2015-05-12,1.5575,1.571,1.5554,1.5666,0.0091,0.58
2015-05-13,1.5666,1.5767,1.5631,1.5735,0.0069,0.44
2015-05-14,1.5734,1.5814,1.5726,1.5768,0.0033,0.21
2015-05-15,1.577,1.5807,1.5699,1.572,-0.0048,-0.3
